Country / territory of asylum/residence,Origin,Year,Month,Value,Date
Albania,Afghanistan,2007,November,1,11/1/07
Albania,Afghanistan,2012,September,1,9/1/12
Albania,Afghanistan,2015,May,0,5/1/15
Albania,Afghanistan,2016,June,18,6/1/16
Albania,Afghanistan,2016,July,19,7/1/16
Albania,Algeria,2006,November,1,11/1/06
Albania,Algeria,2011,July,1,7/1/11
Albania,Egypt,2005,April,1,4/1/05
Albania,Egypt,2006,November,1,11/1/06
Albania,Egypt,2010,February,1,2/1/10
Albania,Azerbaijan,2014,November,0,11/1/14
Albania,Azerbaijan,2014,December,0,12/1/14
Albania,Barbados,2012,November,1,11/1/12
Albania,Bangladesh,2006,February,1,2/1/06
Albania,Bangladesh,2011,January,1,1/1/11
Albania,Bosnia and Herzegovina,2010,August,1,8/1/10
Albania,Bosnia and Herzegovina,2013,February,1,2/1/13
Albania,Central African Rep.,2015,April,0,4/1/15
Albania,China,2006,March,3,3/1/06
Albania,China,2006,May,5,5/1/06
Albania,China,2009,May,1,5/1/09
Albania,China,2011,May,1,5/1/11
Albania,China,2013,January,1,1/1/13
Albania,Cameroon,2015,February,0,2/1/15
Albania,Cameroon,2015,March,0,3/1/15
Albania,Congo,2014,December,0,12/1/14
Albania,Dem. Rep. of the Congo,2012,May,5,5/1/12
Albania,Dem. Rep. of the Congo,2014,July,0,7/1/14
Albania,Dem. Rep. of the Congo,2015,October,0,10/1/15
Albania,Dem. Rep. of the Congo,2016,February,1,2/1/16
Albania,Dem. Rep. of the Congo,2016,April,2,4/1/16
Albania,Czech Rep.,2007,March,4,3/1/07
Albania,Eritrea,2014,May,5,5/1/14
Albania,Eritrea,2014,June,0,6/1/14
Albania,Eritrea,2014,July,7,7/1/14
Albania,Eritrea,2014,August,0,8/1/14
Albania,Eritrea,2014,September,6,9/1/14
Albania,Eritrea,2014,November,0,11/1/14
Albania,Eritrea,2015,January,0,1/1/15
Albania,Eritrea,2015,March,0,3/1/15
Albania,Eritrea,2015,June,5,6/1/15
Albania,Gabon,2015,February,0,2/1/15
Albania,Gabon,2015,April,0,4/1/15
Albania,Gambia,2012,August,2,8/1/12
Albania,Gambia,2013,September,1,9/1/13
Albania,Palestinian,2005,June,1,6/1/05
Albania,Ghana,2016,April,1,4/1/16
Albania,Guinea,2016,July,2,7/1/16
Albania,India,2005,January,4,1/1/05
Albania,India,2005,February,2,2/1/05
Albania,India,2006,July,2,7/1/06
Albania,India,2007,February,1,2/1/07
Albania,Iran (Islamic Rep. of),2009,September,1,9/1/09
Albania,Iran (Islamic Rep. of),2010,July,1,7/1/10
Albania,Iran (Islamic Rep. of),2013,May,44,5/1/13
Albania,Iran (Islamic Rep. of),2013,June,27,6/1/13
Albania,Iran (Islamic Rep. of),2013,July,45,7/1/13
Albania,Iran (Islamic Rep. of),2013,August,42,8/1/13
Albania,Iran (Islamic Rep. of),2013,September,26,9/1/13
Albania,Iran (Islamic Rep. of),2013,October,12,10/1/13
Albania,Iran (Islamic Rep. of),2013,November,1,11/1/13
Albania,Iran (Islamic Rep. of),2014,January,8,1/1/14
Albania,Iran (Islamic Rep. of),2014,March,33,3/1/14
Albania,Iran (Islamic Rep. of),2014,April,0,4/1/14
Albania,Iran (Islamic Rep. of),2014,June,0,6/1/14
Albania,Iran (Islamic Rep. of),2014,October,0,10/1/14
Albania,Iran (Islamic Rep. of),2014,November,235,11/1/14
Albania,Iran (Islamic Rep. of),2015,February,0,2/1/15
Albania,Iran (Islamic Rep. of),2015,June,15,6/1/15
Albania,Iran (Islamic Rep. of),2015,July,42,7/1/15
Albania,Iran (Islamic Rep. of),2015,August,35,8/1/15
Albania,Iran (Islamic Rep. of),2015,September,38,9/1/15
Albania,Iran (Islamic Rep. of),2015,October,145,10/1/15
Albania,Iran (Islamic Rep. of),2015,November,73,11/1/15
Albania,Iran (Islamic Rep. of),2015,December,131,12/1/15
Albania,Iran (Islamic Rep. of),2016,February,42,2/1/16
Albania,Iran (Islamic Rep. of),2016,April,60,4/1/16
Albania,Iran (Islamic Rep. of),2016,May,180,5/1/16
Albania,Iran (Islamic Rep. of),2016,June,174,6/1/16
Albania,Iran (Islamic Rep. of),2016,July,346,7/1/16
Albania,Iran (Islamic Rep. of),2016,August,587,8/1/16
Albania,Iran (Islamic Rep. of),2016,September,553,9/1/16
Albania,Iraq,2010,December,2,12/1/10
Albania,Iraq,2011,January,2,1/1/11
Albania,Iraq,2015,June,0,6/1/15
Albania,Iraq,2016,January,1,1/1/16
Albania,Liberia,2005,May,2,5/1/05
Albania,Libya,2010,February,1,2/1/10
Albania,Sri Lanka,2008,May,2,5/1/08
Albania,The former Yugoslav Rep. of Macedonia,2006,April,2,4/1/06
