Team,Last Name,First Name,Salary,Position
Anaheim Angels,Molina, Benjie,"1,425,000",Catcher
Anaheim Angels,Molina, Jose,"320,000",Catcher
Anaheim Angels,Wooten, Shawn,"337,500",Catcher
Baltimore Orioles,Fordyce, Brook,"3,500,000",Catcher
Baltimore Orioles,Gil, Geronimo,"330,000",Catcher
Boston Red Sox,Mirabelli, Doug,"805,000",Catcher
Boston Red Sox,Varitek, Jason,"4,700,000",Catcher
Chicago White Sox,Paul, Josh,"325,000",Catcher
Chicago White Sox,Olivo, Miguel,"300,000",Catcher
Chicago White Sox,Alomar Jr, Sandy,"700,000",Catcher
Cleveland Indians,Bard, Josh,"302,100",Catcher
Cleveland Indians,Laker, Tim,"400,000",Catcher
Detroit Tigers,Inge, Brandon,"315,000",Catcher
Detroit Tigers,Walbeck, Matt,"400,000",Catcher
Kansas City Royals,Mayne, Brent,"2,750,000",Catcher
Kansas City Royals,Difelice, Mike,"625,000",Catcher
Minnesota Twins,Pierzynski, AJ,"365,000",Catcher
Minnesota Twins,Lecroy, Matt,"312,500",Catcher
Minnesota Twins,Prince, Tom,"450,000",Catcher
New York Yankees,Flaherty, John,"750,000",Catcher
New York Yankees,Posada, Jorge,"8,000,000",Catcher
Oakland Athletics,Johnson, Mark L,"500,000",Catcher
Oakland Athletics,Hernandez, Ramon,"1,887,500",Catcher
Oakland Athletics,Hatteberg, Scott,"1,750,000",Catcher
Seattle Mariners,Davis, Ben,"1,000,000",Catcher
Seattle Mariners,Wilson, Dan,"3,500,000",Catcher
Seattle Mariners,Borders, Pat,"500,000",Catcher
Tampa Bay Devil Rays,Valentin, Javier,"300,000",Catcher
Tampa Bay Devil Rays,Hall, Toby,"300,000",Catcher
Texas Rangers,Kreuter, Chad,"750,000",Catcher
Texas Rangers,Diaz, Einar,"1,837,500",Catcher
Texas Rangers,Greene, Todd,"750,000",Catcher
Toronto Blue Jays ,Myers, Greg,"800,000",Catcher
Toronto Blue Jays ,Werth, Jayson,"300,000",Catcher
Toronto Blue Jays ,Huckaby, Ken,"313,000",Catcher
Toronto Blue Jays ,Wilson, Tom,"316,000",Catcher
Anaheim Angels,Fullmer, Brad,"1,000,000",First Baseman
Anaheim Angels,Spiezio, Scott,"4,250,000",First Baseman
Baltimore Orioles,Surhoff, BJ,"1,000,000",First Baseman
Baltimore Orioles,Segui, David,"7,000,000",First Baseman
Baltimore Orioles,Gibbons, Jay,"375,000",First Baseman
Boston Red Sox,Ortiz, David,"1,250,000",First Baseman
Boston Red Sox,Millar, Kevin,"2,000,000",First Baseman
Chicago White Sox,Daubach, Brian,"450,000",First Baseman
Chicago White Sox,Thomas, Frank,"5,000,000",First Baseman
Chicago White Sox,Konerko, Paul,"6,250,000",First Baseman
Cleveland Indians,Broussard, Benjamin,"303,000",First Baseman
Cleveland Indians,Hafner, Travis,"302,200",First Baseman
Detroit Tigers,Pena, Carlos,"310,000",First Baseman
Kansas City Royals,Harvey, Ken,"300,000",First Baseman
Kansas City Royals,Sweeney, Mike,"11,000,000",First Baseman
Minnesota Twins,Mientkiewicz, Doug,"1,750,000",First Baseman
New York Yankees,Giambi, Jason,"11,428,571",First Baseman
New York Yankees,Johnson, Nick,"364,100",First Baseman
Oakland Athletics,Durazo, Erubiel,"1,065,000",First Baseman
Seattle Mariners,Martinez, Edgar,"4,000,000",First Baseman
Seattle Mariners,Colbrunn, Greg,"750,000",First Baseman
Seattle Mariners,Mabry, John,"600,000",First Baseman
Seattle Mariners,Olerud, John,"7,700,000",First Baseman
