Team,Player,Salary,Position
New York Yankees,"Acevedo, Juan","900,000",Pitcher
New York Yankees,"Anderson, Jason","300,000",Pitcher
New York Yankees,"Clemens, Roger","10,100,000",Pitcher
New York Yankees,"Contreras, Jose","5,500,000",Pitcher
New York Yankees,"Flaherty, John","750,000",Catcher
New York Yankees,"Giambi, Jason","11,428,571",First Baseman
New York Yankees,"Hammond, Chris","2,200,000",Pitcher
New York Yankees,"Hitchcock, Sterling","6,000,000",Pitcher
New York Yankees,"Jeter, Derek","15,600,000",Shortstop
New York Yankees,"Johnson, Nick","364,100",First Baseman
New York Yankees,"Karsay, Steve","5,000,000",Pitcher
New York Yankees,"Latham, Chris","400,000",Outfielder
New York Yankees,"Liever, Jon","550,000",Pitcher
New York Yankees,"Matsui, Hideki","6,000,000",Outfielder
New York Yankees,"Mondesi, Raul","13,000,000",Outfielder
New York Yankees,"Mussina, Mike","12,000,000",Pitcher
New York Yankees,"Osuna, Antonio","2,400,000",Pitcher
New York Yankees,"Pettitte, Andy","11,500,000",Pitcher
New York Yankees,"Posada, Jorge","8,000,000",Catcher
New York Yankees,"Rivera, Mariano","10,500,000",Pitcher
New York Yankees,"Soriano, Alfonso","800,000",Second Baseman
New York Yankees,"Trammell, Bubba","2,500,000",Outfielder
New York Yankees,"Ventura, Robin","5,000,000",Third Baseman
New York Yankees,"Weaver, Jeff","4,150,000",Pitcher
New York Yankees,"Wells, David","3,250,000",Pitcher
New York Yankees,"Williams, Bernie","12,357,143",Outfielder
New York Yankees,"Wilson, Enrique","700,000",Shortstop
New York Yankees,"Zeile, Todd","1,500,000",Third Baseman
Anaheim Angels,"Anderson, Garret","5,350,000",Outfielder
Anaheim Angels,"Appier, Kevin","11,500,000",Pitcher
Anaheim Angels,"Callaway, Mickey","302,500",Pitcher
Anaheim Angels,"Donnelly, Brendan","325,000",Pitcher
Anaheim Angels,"Eckstein, David","425,000",Shortstop
Anaheim Angels,"Erstad, Darin","7,250,000",Outfielder
Anaheim Angels,"Fullmer, Brad","1,000,000",First Baseman
Anaheim Angels,"Gil, Benji","725,000",Shortstop
Anaheim Angels,"Glaus, Troy","7,250,000",Third Baseman
Anaheim Angels,"Kennedy, Adam","2,270,000",Second Baseman
Anaheim Angels,"Lackey, John","315,000",Pitcher
Anaheim Angels,"Molina, Benjie","1,425,000",Catcher
Anaheim Angels,"Molina, Jose","320,000",Catcher
Anaheim Angels,"Ortiz, Ramon","2,266,667",Pitcher
Anaheim Angels,"Owens, Eric","925,000",Outfielder
Anaheim Angels,"Percival, Troy","7,833,333",Pitcher
Anaheim Angels,"Ramirez, Julio","300,000",Outfielder
Anaheim Angels,"Rodriquez, Francisco","312,500",Pitcher
Anaheim Angels,"Salmon, Tim","9,900,000",Outfielder
Anaheim Angels,"Schoeneweis, Scott","1,425,000",Pitcher
Anaheim Angels,"Sele, Aaron","8,166,667",Pitcher
Anaheim Angels,"Shields, Scot","305,000",Pitcher
Anaheim Angels,"Spiezio, Scott","4,250,000",First Baseman
Anaheim Angels,"Washburn, Jarrod","3,875,000",Pitcher
Anaheim Angels,"Weber, Ben","375,000",Pitcher
Anaheim Angels,"Wise, Matt","302,500",Pitcher
Anaheim Angels,"Wooten, Shawn","337,500",Catcher
Boston Red Sox,"Burkett, John","5,500,000",Pitcher
Boston Red Sox,"Damon, Johnny","7,500,000",Outfielder
Boston Red Sox,"Embree, Alan","3,000,000",Pitcher
Boston Red Sox,"Fossum, Casey","324,500",Pitcher
Boston Red Sox,"Fox, Chad","500,000",Pitcher
Boston Red Sox,"Garciaparra, Nomar","11,000,000",Shortstop
Boston Red Sox,"Giambi, Jeremy","2,000,000",Outfielder
Boston Red Sox,"Gonzalez, Dicky","300,000",Pitcher
Boston Red Sox,"Hillenbrand, Shea","407,500",Third Baseman
Boston Red Sox,"Howry, Bobby","1,700,000",Pitcher
Boston Red Sox,"Jackson, Damian","625,000",Shortstop
Boston Red Sox,"Lowe, Derek","3,625,000",Pitcher
Boston Red Sox,"Lyon, Brandon","309,500",Pitcher
Boston Red Sox,"Martinez, Pedro","15,500,000",Pitcher
Boston Red Sox,"Mendoza, Ramiro","2,900,000",Pitcher
Boston Red Sox,"Millar, Kevin","2,000,000",First Baseman
Boston Red Sox,"Mirabelli, Doug","805,000",Catcher
Boston Red Sox,"Mueller, Bill","2,100,000",Third Baseman
Boston Red Sox,"Nixon, Trot","4,000,000",Outfielder
Boston Red Sox,"Ortiz, David","1,250,000",First Baseman
Boston Red Sox,"Person, Robert","300,000",Pitcher
Boston Red Sox,"Ramirez, Manny","20,000,000",Outfielder
Boston Red Sox,"Timlin, Mike","1,850,000",Pitcher
Boston Red Sox,"Varitek, Jason","4,700,000",Catcher
Boston Red Sox,"Wakefield, Tim","4,000,000",Pitcher
Boston Red Sox,"Walker, Todd","3,450,000",Second Baseman
Boston Red Sox,"White, Matt","300,000",Pitcher
Cleveland Indians,"Anderson, Brian","1,500,000",Pitcher
Cleveland Indians,"Baez, Danys","5,125,000",Pitcher
Cleveland Indians,"Bard, Josh","302,100",Catcher
Cleveland Indians,"Bere, Jason","1,000,000",Pitcher
Cleveland Indians,"Blake, Casey","330,000",Third Baseman
Cleveland Indians,"Bradley, Milton","314,300",Outfielder
Cleveland Indians,"Broussard, Benjamin","303,000",First Baseman
Cleveland Indians,"Burks, Ellis","7,166,667",Outfielder
Cleveland Indians,"Davis, Jason","301,100",Pitcher
Cleveland Indians,"Garcia, Karim","900,000",Outfielder
Cleveland Indians,"Gutierrez, Ricky","3,916,667",Shortstop
Cleveland Indians,"Hafner, Travis","302,200",First Baseman
Cleveland Indians,"Laker, Tim","400,000",Catcher
Cleveland Indians,"Lawton, Matt","6,750,000",Outfielder
Cleveland Indians,"Lee, Cliff","300,900",Pitcher
Cleveland Indians,"McDonald, John","314,400",Shortstop
Cleveland Indians,"Mulholland, Terry","500,000",Pitcher
Cleveland Indians,"Myette, Aaron","307,500",Pitcher
Cleveland Indians,"Phillips, Brandon","300,900",Shortstop
Cleveland Indians,"Riske, David","314,000",Pitcher
Cleveland Indians,"Rodriguez, Ricardo","302,400",Pitcher
Cleveland Indians,"Sabathia, CC","1,100,000",Pitcher
Cleveland Indians,"Sadler, Carl","303,200",Pitcher
Cleveland Indians,"Santiago, Jose","600,000",Pitcher
Cleveland Indians,"Selby, Bill","325,000",Second Baseman
Cleveland Indians,"Spencer, Shane","600,000",Outfielder
Cleveland Indians,"Traber, Billy","300,000",Pitcher
Cleveland Indians,"Vizquel, Omar","5,500,000",Shortstop
Cleveland Indians,"Westbrook, Jake","305,500",Pitcher
Cleveland Indians,"Wickman, Bob","6,000,000",Pitcher
Cleveland Indians,"Wohlers, Mark","2,600,000",Pitcher
Toronto Blue Jays ,"Berg, Dave","700,000",Shortstop
Toronto Blue Jays ,"Bordick, Mike","1,000,000",Shortstop
Toronto Blue Jays ,"Catalanotto, Frank","2,200,000",Outfielder
Toronto Blue Jays ,"Creek, Doug","700,000",Pitcher
Toronto Blue Jays ,"Delgado, Carlos","18,700,000",First Baseman
Toronto Blue Jays ,"Escobar, Kelvim","3,900,000",Pitcher
Toronto Blue Jays ,"File, Bob","310,000",Pitcher
Toronto Blue Jays ,"Halladay, Roy","3,825,000",Pitcher
Toronto Blue Jays ,"Hendrickson, Mark","302,000",Pitcher
Toronto Blue Jays ,"Hinske, Eric","600,000",Third Baseman
Toronto Blue Jays ,"Huckaby, Ken","313,000",Catcher
Toronto Blue Jays ,"Hudson, Orlando","313,000",Second Baseman
Toronto Blue Jays ,"Lidle, Cory","5,350,000",Pitcher
Toronto Blue Jays ,"Linton, Doug","350,000",Pitcher
Toronto Blue Jays ,"Lopez, Aquilino","300,000",Pitcher
Toronto Blue Jays ,"Miller, Trever","305,000",Pitcher
Toronto Blue Jays ,"Myers, Greg","800,000",Catcher
Toronto Blue Jays ,"Phelps, Josh","320,000",First Baseman
Toronto Blue Jays ,"Politte, Cliff","845,000",Pitcher
Toronto Blue Jays ,"Stewart, Shannon","6,200,000",Outfielder
Toronto Blue Jays ,"Sturtze, Tanyon","1,000,000",Pitcher
Toronto Blue Jays ,"Tam, Jeff","600,000",Pitcher
Toronto Blue Jays ,"Walker, Pete","425,000",Pitcher
Toronto Blue Jays ,"Wells, Vernon","520,000",Outfielder
Toronto Blue Jays ,"Werth, Jayson","300,000",Catcher
Toronto Blue Jays ,"Wilson, Tom","316,000",Catcher
Toronto Blue Jays ,"Woodward, Chris","775,000",Shortstop
Baltimore Orioles,"Batista, Tony","6,400,000",Third Baseman
Baltimore Orioles,"Bauer, Rick","325,000",Pitcher
Baltimore Orioles,"Bedard, Erik","300,000",Pitcher
Baltimore Orioles,"Belle, Albert","13,000,000",Outfielder
