,Ticker Symbol,Years,Period Ending, Total Revenue , Cost of Goods Sold ," Sales, General and Admin. ", Research and Development , Other Operating Items ,GICS Sector,GICS Sub Industry
0,AAL,Year 1,12/31/2012," $24,855,000,000 "," $10,499,000,000 "," $12,977,000,000 ", $-   ," $845,000,000 ",Industrials,Airlines
1,AAL,Year 2,12/31/2013," $26,743,000,000 "," $11,019,000,000 "," $12,913,000,000 ", $-   ," $853,000,000 ",Industrials,Airlines
2,AAL,Year 3,12/31/2014," $42,650,000,000 "," $15,620,000,000 "," $20,686,000,000 ", $-   ," $1,295,000,000 ",Industrials,Airlines
3,AAL,Year 4,12/31/2015," $40,990,000,000 "," $11,096,000,000 "," $21,275,000,000 ", $-   ," $1,364,000,000 ",Industrials,Airlines
4,AAP,Year 1,12/29/2012," $6,205,003,000 "," $3,106,967,000 "," $2,440,721,000 ", $-   , $-   ,Consumer Discretionary,Automotive Retail
5,AAP,Year 2,12/28/2013," $6,493,814,000 "," $3,241,668,000 "," $2,591,828,000 ", $-   , $-   ,Consumer Discretionary,Automotive Retail
6,AAP,Year 3,1/3/2015," $9,843,861,000 "," $5,390,248,000 "," $3,601,903,000 ", $-   , $-   ,Consumer Discretionary,Automotive Retail
7,AAP,Year 4,1/2/2016," $9,737,018,000 "," $5,314,246,000 "," $3,596,992,000 ", $-   , $-   ,Consumer Discretionary,Automotive Retail
8,AAPL,Year 1,9/28/2013," $170,910,000,000 "," $106,606,000,000 "," $10,830,000,000 "," $4,475,000,000 ", $-   ,Information Technology,Computer Hardware
9,AAPL,Year 2,9/27/2014," $182,795,000,000 "," $112,258,000,000 "," $11,993,000,000 "," $6,041,000,000 ", $-   ,Information Technology,Computer Hardware
10,AAPL,Year 3,9/26/2015," $233,715,000,000 "," $140,089,000,000 "," $14,329,000,000 "," $8,067,000,000 ", $-   ,Information Technology,Computer Hardware
11,AAPL,Year 4,9/24/2016," $215,639,000,000 "," $131,376,000,000 "," $14,194,000,000 "," $10,045,000,000 ", $-   ,Information Technology,Computer Hardware
12,ABBV,Year 1,12/31/2012," $18,380,000,000 "," $4,508,000,000 "," $4,989,000,000 "," $2,778,000,000 ", $-   ,Health Care,Pharmaceuticals
13,ABBV,Year 2,12/31/2013," $18,790,000,000 "," $4,581,000,000 "," $5,352,000,000 "," $2,855,000,000 ", $-   ,Health Care,Pharmaceuticals
14,ABBV,Year 3,12/31/2014," $19,960,000,000 "," $4,426,000,000 "," $8,474,000,000 "," $3,297,000,000 ", $-   ,Health Care,Pharmaceuticals
15,ABBV,Year 4,12/31/2015," $22,859,000,000 "," $4,500,000,000 "," $6,387,000,000 "," $4,285,000,000 ", $-   ,Health Care,Pharmaceuticals
16,ABC,Year 1,9/30/2013," $87,959,167,000 "," $85,451,348,000 "," $1,447,234,000 ", $-   ," $162,186,000 ",Health Care,Health Care Distributors
17,ABC,Year 2,9/30/2014," $119,569,127,000 "," $116,586,761,000 "," $2,011,595,000 ", $-   ," $188,680,000 ",Health Care,Health Care Distributors
18,ABC,Year 3,9/30/2015," $135,961,803,000 "," $132,432,490,000 "," $2,858,458,000 ", $-   ," $248,635,000 ",Health Care,Health Care Distributors
19,ABC,Year 4,9/30/2016," $146,849,686,000 "," $142,577,080,000 "," $2,382,097,000 ", $-   ," $364,735,000 ",Health Care,Health Care Distributors
20,ABT,Year 1,12/31/2012," $19,050,000,000 "," $8,899,000,000 "," $6,735,000,000 "," $1,461,000,000 "," $595,000,000 ",Health Care,Health Care Equipment
21,ABT,Year 2,12/31/2013," $19,657,000,000 "," $9,193,000,000 "," $6,372,000,000 "," $1,371,000,000 "," $588,000,000 ",Health Care,Health Care Equipment
22,ABT,Year 3,12/31/2014," $20,247,000,000 "," $9,218,000,000 "," $6,530,000,000 "," $1,345,000,000 "," $555,000,000 ",Health Care,Health Care Equipment
23,ABT,Year 4,12/31/2015," $20,405,000,000 "," $8,747,000,000 "," $6,785,000,000 "," $1,405,000,000 "," $601,000,000 ",Health Care,Health Care Equipment
24,ADBE,Year 1,11/29/2013," $4,055,240,000 "," $586,557,000 "," $2,140,578,000 "," $826,631,000 "," $52,254,000 ",Information Technology,Application Software
25,ADBE,Year 2,11/28/2014," $4,147,065,000 "," $622,080,000 "," $2,195,640,000 "," $844,353,000 "," $52,424,000 ",Information Technology,Application Software
26,ADBE,Year 3,11/27/2015," $4,795,511,000 "," $744,317,000 "," $2,215,161,000 "," $862,730,000 "," $68,649,000 ",Information Technology,Application Software
27,ADBE,Year 4,12/2/2016," $5,854,430,000 "," $819,908,000 "," $2,487,907,000 "," $975,987,000 "," $78,534,000 ",Information Technology,Application Software
28,ADI,Year 1,11/2/2013," $2,633,689,000 "," $941,278,000 "," $396,233,000 "," $513,035,000 "," $220,000 ",Information Technology,Semiconductors
29,ADI,Year 2,11/1/2014," $2,864,773,000 "," $1,034,585,000 "," $454,676,000 "," $559,686,000 "," $26,020,000 ",Information Technology,Semiconductors
30,ADI,Year 3,10/31/2015," $3,435,092,000 "," $1,175,830,000 "," $702,644,000 "," $637,459,000 "," $88,318,000 ",Information Technology,Semiconductors
31,ADI,Year 4,10/29/2016," $3,421,409,000 "," $1,194,236,000 "," $461,438,000 "," $653,816,000 "," $70,123,000 ",Information Technology,Semiconductors
32,ADM,Year 1,12/31/2012," $90,559,000,000 "," $86,936,000,000 "," $1,665,000,000 ", $-   , $-   ,Consumer Staples,Agricultural Products
